Datetime;Index Name;Index Value
2022-11-06 16:04:26.577040;Hang Seng Index;16,161.14
2022-11-06 17:04:44.083930;Hang Seng Index;16,161.14
2022-11-06 18:04:24.868872;Hang Seng Index;16,161.14
2022-11-06 19:04:14.952408;Hang Seng Index;16,161.14
2022-11-06 20:04:15.910508;Hang Seng Index;16,161.14
2022-11-06 21:04:46.175399;Hang Seng Index;16,161.14
2022-11-06 22:04:26.320721;Hang Seng Index;16,161.14
2022-11-06 23:04:41.713602;Hang Seng Index;16,161.14
2022-11-07 00:04:21.705427;Hang Seng Index;16,161.14
2022-11-07 01:04:29.054816;Hang Seng Index;16,161.14
2022-11-07 02:04:34.968807;Hang Seng Index;16,425.33
2022-11-07 03:04:34.378755;Hang Seng Index;16,396.60
2022-11-07 04:04:08.173874;Hang Seng Index;16,760.22
2022-11-07 05:04:30.682981;Hang Seng Index;16,714.57
2022-11-07 06:04:10.313422;Hang Seng Index;16,590.58
2022-11-07 07:01:08.558712;Hang Seng Index;16,664.28
2022-11-07 08:04:15.875724;Hang Seng Index;16,565.70
2022-11-07 09:04:28.192820;Hang Seng Index;16,595.91
2022-11-07 10:04:36.083635;Hang Seng Index;16,595.91
2022-11-07 11:11:03.468086;Hang Seng Index;16,595.91
2022-11-07 12:02:57.936213;Hang Seng Index;16,595.91
2022-11-07 13:04:38.080047;Hang Seng Index;16,595.91
2022-11-07 14:02:57.726575;Hang Seng Index;16,595.91
2022-11-07 15:03:04.392804;Hang Seng Index;16,595.91
2022-11-07 16:02:48.371806;Hang Seng Index;16,595.91
2022-11-07 17:02:51.431044;Hang Seng Index;16,595.91
2022-11-07 18:35:51.264179;Hang Seng Index;16,595.91
2022-11-07 19:02:51.114521;Hang Seng Index;16,595.91
2022-11-08 03:13:16.249146;Hang Seng Index;16,529.36
2022-11-08 04:03:21.469630;Hang Seng Index;16,590.22
2022-11-08 05:03:29.203516;Hang Seng Index;16,588.75
2022-11-08 06:03:21.574721;Hang Seng Index;16,472.87
2022-11-08 07:03:29.199927;Hang Seng Index;16,530.40
2022-11-08 13:31:36.343350;Hang Seng Index;16,557.31
2022-11-08 14:04:21.699611;Hang Seng Index;16,557.31
2022-11-08 15:04:37.409334;Hang Seng Index;16,557.31
2022-11-08 16:04:30.712331;Hang Seng Index;16,557.31
2022-11-08 17:04:40.029173;Hang Seng Index;16,557.31
2022-11-08 18:04:25.588522;Hang Seng Index;16,557.31
2022-11-08 19:04:33.337346;Hang Seng Index;16,557.31
2022-11-08 20:04:45.331152;Hang Seng Index;16,557.31
2022-11-08 21:04:14.178224;Hang Seng Index;16,557.31
2022-11-08 22:04:37.182219;Hang Seng Index;16,557.31
2022-11-08 23:04:32.601227;Hang Seng Index;16,557.31
2022-11-09 00:04:20.245399;Hang Seng Index;16,557.31
2022-11-09 01:04:22.859893;Hang Seng Index;16,557.31
2022-11-09 02:04:13.689711;Hang Seng Index;16,610.13
2022-11-09 03:04:27.714622;Hang Seng Index;16,513.72
2022-11-09 04:04:31.082776;Hang Seng Index;16,333.74
2022-11-09 05:04:31.772722;Hang Seng Index;16,305.46
2022-11-09 06:04:20.729933;Hang Seng Index;16,306.93
2022-11-09 10:20:31.228498;Hang Seng Index;16,358.52
2022-11-09 11:04:22.145356;Hang Seng Index;16,358.52
2022-11-09 12:04:28.498827;Hang Seng Index;16,358.52
2022-11-09 13:04:11.700828;Hang Seng Index;16,358.52
2022-11-09 14:04:29.537363;Hang Seng Index;16,358.52
2022-11-09 15:04:11.939824;Hang Seng Index;16,358.52
2022-11-09 16:04:22.238856;Hang Seng Index;16,358.52
2022-11-09 17:04:06.905980;Hang Seng Index;16,358.52
2022-11-09 18:04:32.878941;Hang Seng Index;16,358.52
2022-11-09 18:38:48.356932;Hang Seng Index;16,358.52
2022-11-09 19:04:09.739169;Hang Seng Index;16,358.52
2022-11-09 20:04:42.720903;Hang Seng Index;16,358.52
2022-11-09 21:04:44.048997;Hang Seng Index;16,358.52
2022-11-09 22:04:42.095648;Hang Seng Index;16,358.52
2022-11-09 23:04:37.699237;Hang Seng Index;16,358.52
2022-11-10 00:04:36.835026;Hang Seng Index;16,358.52
2022-11-10 01:04:52.459484;Hang Seng Index;16,358.52
2022-11-10 02:04:47.615651;Hang Seng Index;15,973.92
