Date,Open,High,Low,Close,Adj Close,Volume
3/4/2022,21879.13086,22017.93945,21838.99023,21905.28906,21905.28906,2438205000
3/7/2022,21308.90039,21327.18945,20826.35938,21057.63086,21057.63086,3322870000
3/8/2022,21082.39063,21303.51953,20638.94922,20765.86914,20765.86914,3231989700
3/9/2022,20820.01953,20957.7207,20102.57031,20627.71094,20627.71094,3674580900
3/10/2022,21106.57031,21114.43945,20709.61914,20890.25977,20890.25977,2694330600
3/11/2022,20460.0293,20778.85938,20079.15039,20553.78906,20553.78906,3019997500
3/14/2022,20203.83984,20203.83984,19416.7793,19531.66016,19531.66016,4096127300
3/15/2022,18931.17969,19392.68945,18235.48047,18415.08008,18415.08008,6012760100
3/16/2022,18956.01953,20120.84961,18584.03906,20087.5,20087.5,5501050500
3/17/2022,21430.71094,21501.23047,20786.68945,21501.23047,21501.23047,4826218000
3/18/2022,21232.88086,21646.15039,20922.36914,21412.40039,21412.40039,4590509200
3/21/2022,21823.07031,21823.07031,21096.31055,21221.33984,21221.33984,2340034100
3/22/2022,21319.18945,21906.32031,21266.90039,21889.2793,21889.2793,2590383300
3/23/2022,22088.78906,22423.50977,21983.09961,22154.08008,22154.08008,2835723800
3/24/2022,22002.86914,22231.66992,21900.13086,21945.94922,21945.94922,2404819800
3/25/2022,21735.60938,21944.08008,21289.25977,21404.88086,21404.88086,2358152600
3/28/2022,21422.19922,21790.9707,21202.68945,21684.9707,21684.9707,2200278800
3/29/2022,21771.28906,21937.26953,21722.16992,21927.63086,21927.63086,2259328100
3/30/2022,22101.63086,22391.34961,22033.7793,22232.0293,22232.0293,2729645500
3/31/2022,22262.16016,22262.16016,21922.58008,21996.84961,21996.84961,2226286300
4/1/2022,21693.09961,22039.55078,21558.05078,22039.55078,22039.55078,1937497800
4/4/2022,22227.10938,22523.64063,22124.0293,22502.31055,22502.31055,1868076200
4/6/2022,22220.21094,22244.99023,22015.11914,22080.51953,22080.51953,2749772600
4/7/2022,21910.40039,22236.92969,21779.18945,21808.98047,21808.98047,2078973200
4/8/2022,21667.5293,21872.00977,21568.2207,21872.00977,21872.00977,1739886100
4/11/2022,21688.0293,21688.0293,21132.53906,21208.30078,21208.30078,2104906000
4/12/2022,21279.17969,21519.13086,20988.19922,21319.13086,21319.13086,2045265200
4/13/2022,21192.61914,21531.48047,21141.06055,21374.36914,21374.36914,1696862200
4/14/2022,21463.34961,21587.4707,21358.73047,21518.08008,21518.08008,1719437600
4/19/2022,21106,21191.80078,20896.42969,21027.75977,21027.75977,2240088300
4/20/2022,20972.83984,21214.98047,20889.01953,20944.66992,20944.66992,1876429100
4/21/2022,20780.85938,20920.59961,20483.85938,20682.2207,20682.2207,2226185800
4/22/2022,20261.60938,20709.49023,20184.96094,20638.51953,20638.51953,2351346100
4/25/2022,20284.59961,20284.59961,19784.2793,19869.33984,19869.33984,2912292500
4/26/2022,19989.03906,20258.64063,19858.35938,19934.71094,19934.71094,2565706600
4/27/2022,19723.46094,20053.10938,19665.49023,19946.35938,19946.35938,2361021600
4/28/2022,20118.78906,20286.83008,19956.66992,20276.16992,20276.16992,2255667000
4/29/2022,20271.40039,21176.58008,20040.07031,21089.39063,21089.39063,2727108500
5/3/2022,20927.61914,21291.80078,20648.5293,21101.89063,21101.89063,1741666900
5/4/2022,21025.69922,21047.13086,20772.80078,20869.51953,20869.51953,1139909500
5/5/2022,21163.15039,21284.84961,20776.9707,20793.40039,20793.40039,1827136200
5/6/2022,20287.06055,20320.2793,19973.4707,20001.96094,20001.96094,2110559000
5/10/2022,19300.67969,19758.63086,19178.89063,19633.68945,19633.68945,2785651600
5/11/2022,19511.80078,20083.49023,19474.0293,19824.57031,19824.57031,1958419000
5/12/2022,19556.89063,19731.26953,19342.89063,19380.33984,19380.33984,2273639300
5/13/2022,19615.99023,19925.43945,19608.25977,19898.76953,19898.76953,2075261400
5/16/2022,20131.5293,20173.2207,19764.96094,19950.21094,19950.21094,1796370300
5/17/2022,20193.59961,20626.41992,20169.24023,20602.51953,20602.51953,2207409300
5/18/2022,20674.23047,20711.92969,20389.60938,20644.2793,20644.2793,1945972100
5/19/2022,20146.96094,20277.93945,19924.86914,20120.67969,20120.67969,2120940500
5/20/2022,20470.94922,20794.13086,20408.67969,20717.24023,20717.24023,2173124300
5/23/2022,20608.65039,20642.75977,20303.55078,20470.06055,20470.06055,1696099800
5/24/2022,20420.14063,20509.61914,19989.61914,20112.09961,20112.09961,1825206400
5/25/2022,20115.56055,20370.74023,20067.98047,20171.26953,20171.26953,2097456800
5/26/2022,20272.2207,20272.2207,19890.75977,20116.19922,20116.19922,1855500300
5/27/2022,20646.06055,20779.75,20494.15039,20697.35938,20697.35938,2565822400
5/30/2022,20933.5,21169.08008,20885.01953,21123.92969,21123.92969,2609326500
5/31/2022,21106.41016,21415.19922,21029.7207,21415.19922,21415.19922,3919117100
6/1/2022,21407.78906,21411.94922,21154.03906,21294.93945,21294.93945,2073470900
6/2/2022,21057.03906,21115.7793,20884.16016,21082.13086,21082.13086,1816141700
6/6/2022,21282.50977,21691.91992,21030.07031,21653.90039,21653.90039,2244704900
6/7/2022,21577.48047,21744.46094,21394.58984,21531.66992,21531.66992,2145401800
6/8/2022,21788.89063,22064.11914,21734.49023,22014.58984,22014.58984,2943006300
6/9/2022,22121.5293,22142.82031,21737.93945,21869.05078,21869.05078,2544549600
6/10/2022,21522.5,21935.00977,21487.91016,21806.17969,21806.17969,2686148300
6/13/2022,21162.5293,21320.15039,20993.75977,21067.58008,21067.58008,2607011600
6/14/2022,20783.53906,21175.00977,20717.64063,21067.99023,21067.99023,1965884200
6/15/2022,21111.32031,21431.07031,21111.32031,21308.21094,21308.21094,2301321000
6/16/2022,21515.64063,21545.83984,20697.41016,20845.42969,20845.42969,2341100400
6/17/2022,20716.74023,21145.93945,20697.16992,21075,21075,3097480100
6/20/2022,20948.80078,21175.98047,20839.01953,21163.91016,21163.91016,2085205800
6/21/2022,21264.98047,21564.86914,21175.94922,21559.58984,21559.58984,2133396900
6/22/2022,21469.74023,21519.58008,21008.33984,21008.33984,21008.33984,2470631200
6/23/2022,21157.58008,21443.58984,21010.89063,21273.86914,21273.86914,2007274200
6/24/2022,21450.67969,21762.66992,21408.66016,21719.06055,21719.06055,2410823300
6/27/2022,21976.80078,22414.42969,21976.80078,22229.51953,22229.51953,2994729200
6/28/2022,22144.63086,22449.31055,21952.43945,22418.9707,22418.9707,2873985100
