Column1,source,author,title,description,url,urlToImage,publishedAt,content
20,"{'id': None, 'name': 'Post Magazine'}","Agence France-Presse, Agence France-Presse",Pakistan summons US envoy over Biden’s ‘most dangerous nation’ remark,"US President Joe Biden had described Pakistan as “one of the most dangerous nations in the world” and questioned its nuclear weapons safety protocols, in apparently off-the-cuff remarks at a private Democratic Party fundraiser in California.",https://www.scmp.com/news/world/article/3196097/pakistan-summons-us-envoy-over-bidens-most-dangerous-nation-remark,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/15/251ecf24-9022-4976-8802-b5ba07fca678_08b72c2d.jpg?itok=PZoLMbtr&v=1665840943,10/15/2022 21:35,"Published: 9:35pm, 15 Oct, 2022
Updated: 9:35pm, 15 Oct, 2022"
21,"{'id': None, 'name': 'Post Magazine'}","Agence France-Presse, Agence France-Presse",‘The beginning of the end’: Iranians continue protests over Mahsa Amini’s death despite internet cuts,"Demonstrators filled the streets of Iran on Saturday over Mahsa Amini despite internet outages, in the fifth week of the biggest protests and violence that Iran has seen in years.",https://www.scmp.com/news/world/middle-east/article/3196096/beginning-end-iranians-continue-protests-over-mahsa-aminis,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/15/e0fc8e4b-7b8e-403e-b6d3-d5ec1e271d7e_4e893c34.jpg?itok=gjFG8M07&v=1665838541,10/15/2022 20:55,"Shopkeepers went on strike in Aminis hometown Saqez, in Kurdistan province, and Mahabad in West Azerbaijan, according to the 1500tasvir social media channel that monitors protests and police violatio… [+3609 chars]"
22,"{'id': None, 'name': 'Post Magazine'}","Chris Lau, Chris Lau",Avril Lavigne cancels Hong Kong performance blaming complicated ‘travel and scheduling logistics’,Punk-pop princess ‘heartbroken’ by decision not to go ahead with concerts in Hong Kong and Manila.,https://www.scmp.com/news/hong-kong/hong-kong-economy/article/3196094/avril-lavigne-cancels-hong-kong-performance,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/15/da263f97-8241-4a87-88f1-be77e385515a_81fd0912.jpg?itok=Fv47nDj9&v=1665833196,10/15/2022 19:26,"Published: 7:26pm, 15 Oct, 2022
Updated: 7:26pm, 15 Oct, 2022"
23,"{'id': None, 'name': 'Post Magazine'}","Ann Cao, Ann Cao",China’s top memory chip maker woos local graduates for design jobs as US tightens export controls,Wuhan-based Yangtze Memory Technologies Corp is wooing local engineering graduates for its IC development department despite being targeted in the latest round of US export controls.,https://www.scmp.com/tech/tech-war/article/3196087/chinas-top-memory-chip-maker-woos-local-graduates-design-jobs-us,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/15/15d7aa80-7fbf-4380-8f2a-a89fdfa7396e_35b50108.jpg?itok=t8OTdHdb&v=1665824973,10/15/2022 19:00,"Published: 7:00pm, 15 Oct, 2022
Updated: 7:00pm, 15 Oct, 2022"
24,"{'id': None, 'name': 'Post Magazine'}","Zhao Ziwen, Zhao Ziwen",New Netflix movie The Lost Lotteries ushers in a slate of new Thai content – will it boost Thailand’s pop culture to compete with K-pop and K-dramas?,"Director Prueksa Amaruji hopes his Netflix comedy The Lost Lotteries will promote Thai pop culture abroad, but there may be a long way to go before Thailand can compete with South Korea as a cultural powerhouse.",https://www.scmp.com/lifestyle/entertainment/article/3195998/new-netflix-movie-lost-lotteries-ushers-slate-new-thai,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/14/7473c51f-9881-4fd7-af59-da61cbdea265_1c7349ba.jpg?itok=TiCbKNzS&v=1665739653,10/15/2022 19:00,"Published: 7:00pm, 15 Oct, 2022
Updated: 7:00pm, 15 Oct, 2022"
25,"{'id': None, 'name': 'Post Magazine'}","Reuters, Reuters",‘Difficult decisions ahead’: New UK finance minister warns of higher taxes in sign of latest policy U-turn by PM Liz Truss,New Finance Minister Jeremy Hunt acknowledged mistakes made by his predecessor Kwasi Kwarteng and warned that public spending budgets would likely be squeezed further.,https://www.scmp.com/news/world/europe/article/3196092/difficult-decisions-ahead-new-uk-finance-minister-warns-higher,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/15/8dd9e2f9-32e6-4574-8e54-d44ea2549aa8_557c890b.jpg?itok=t2RtVGyC&v=1665831333,10/15/2022 18:55,"Published: 6:55pm, 15 Oct, 2022
Updated: 6:55pm, 15 Oct, 2022"
26,"{'id': None, 'name': 'Post Magazine'}","Shirley Chui, Shirley Chui",Hong Kong cyclist Yeung Cho falls short at World Championships debut in Paris as France and Germany surge,Germany and France take the lead at the UCI Worlds in Paris as debuting Hong Kong cyclist Yeung Cho knocked out in the early stage of competition.,https://www.scmp.com/sport/hong-kong/article/3196091/hong-kong-cyclist-yeung-cho-falls-short-world-championships-debut,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/15/e417edc1-82f7-4717-893d-4b1bf019c390_ac98e90c.jpg?itok=1Y1uXKJ6&v=1665830944,10/15/2022 18:49,"Published: 6:49pm, 15 Oct, 2022
Updated: 6:50pm, 15 Oct, 2022"
27,"{'id': None, 'name': 'Post Magazine'}","Kevin McSpadden, Kevin McSpadden",Ancient relatives of ‘penis worms’ discovered in China probably had brains,"Scientists, including some from China, analysing an ancient ancestor of the “penis worm” believe they found solid evidence of fossilised brains, an important breakthrough in palaeontology.",https://www.scmp.com/news/people-culture/environment/article/3195526/ancient-relatives-penis-worms-discovered-china,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/11/98f52edd-9fa3-4ca7-b7c9-ef3ca050de27_400415d5.jpg?itok=gekV3jV3&v=1665461533,10/15/2022 18:00,"Published: 6:00pm, 15 Oct, 2022
Updated: 6:08pm, 15 Oct, 2022"
28,"{'id': None, 'name': 'Post Magazine'}","Cannix Yau, Cannix Yau",Hong Kong police arrest 3 teenagers for allegedly stealing Tesla after 1 posed as prospective buyer,"Teen answers online advert, poses as prospective buyer but then allegedly drives off with car.",https://www.scmp.com/news/hong-kong/law-and-crime/article/3196090/hong-kong-police-arrest-3-teenagers-allegedly-stealing,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/15/15251c9e-9d22-4b40-b46a-0d13328b0e2e_426a0172.jpg?itok=GZv6-PiY&v=1665827083,10/15/2022 17:44,"Published: 5:44pm, 15 Oct, 2022
Updated: 5:44pm, 15 Oct, 2022"
29,"{'id': None, 'name': 'Post Magazine'}","Tribune News Service, Tribune News Service",How a Singapore-born lab’s cell-based milk alternative could shake up the US$871 million global dairy industry,"Cows are out for biotechnology start-up TurtleTree, whose cell-based milk alternative is grown in giant bioreactors at its California-based facility. But can it really shake up the global dairy industry?",https://www.scmp.com/lifestyle/health-wellness/article/3196002/how-singapore-born-labs-cell-based-milk-alternative-could,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/14/b47678ca-dc4a-41dd-a949-fb58554552d5_dc837dbe.jpg?itok=UES0ZF6S&v=1665740448,10/15/2022 17:15,"Published: 5:15pm, 15 Oct, 2022
Updated: 5:15pm, 15 Oct, 2022"
