Column1,source,author,title,description,url,urlToImage,publishedAt,content
15,"{'id': None, 'name': 'Post Magazine'}","Reuters, Reuters",Russia threatens to shoot down Western satellites used to aid Ukraine,"A senior official said the commercial satellites could be a ‘legitimate target’, saying civilian space infrastructure was being involved in armed conflicts.",https://www.scmp.com/news/world/russia-central-asia/article/3197516/russia-threatens-shoot-down-western-satellites-used-aid-ukraine,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/28/040bcc04-5489-47f7-8c7d-6e2ca2327d95_97d13756.jpg?itok=lB3Kiqnu&v=1666893046,10/28/2022 1:50,"Published: 1:50am, 28 Oct, 2022
Updated: 1:50am, 28 Oct, 2022"
16,"{'id': None, 'name': 'Post Magazine'}","Mark Magnier, Mark Magnier",Semiconductor export curbs hitting China to be followed by biotech and AI restrictions: US official,"American national security, rather than ‘economic destruction of China’, drives ‘targeted shutdown’ of industry, senior official contends.",https://www.scmp.com/news/china/article/3197515/semiconductor-export-curbs-hitting-china-be-followed-biotech-and-ai-restrictions-us-official,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/28/36830676-8001-425a-b6f9-29ea5772f351_75487a78.jpg?itok=auaq0oOC&v=1666890637,10/28/2022 1:10,"Published: 1:10am, 28 Oct, 2022
Updated: 1:10am, 28 Oct, 2022"
17,"{'id': None, 'name': 'Post Magazine'}","Liu Zhen, Liu Zhen",China brushes off US request to resume military dialogues,"US Defence Secretary Lloyd Austin had called for contacts to restart, after China cut off exchanges in retaliation for US House speaker’s visit to Taiwan in August.",https://www.scmp.com/news/china/military/article/3197513/china-brushes-us-request-resume-military-dialogues,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/f6fba4cf-d723-4688-b3e7-2e497e4d127c_3c7ba1bc.jpg?itok=IyLfDbl9&v=1666886897,10/28/2022 0:08,"If the US side wants to improve military communication between China and the US, then it should match words with deeds, demonstrate its sincerity, and earnestly respect Chinas interests and major con… [+2275 chars]"
18,"{'id': None, 'name': 'Post Magazine'}","Reuters, Reuters","Tuberculosis deaths rose during pandemic, reversing years of decline, WHO says","WHO urged the world to apply lessons learned from the pandemic to tuberculosis, which severely affects countries such as India, Indonesia, the Philippines and Pakistan.",https://www.scmp.com/news/asia/southeast-asia/article/3197512/tuberculosis-deaths-rose-during-pandemic-reversing-years-decline-who-says,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/79fa36f7-47dc-4efb-a3fa-6c7acf99f9bc_fde4be8f.jpg?itok=HxGrwwm9&v=1666885779,10/27/2022 23:49,"Published: 11:49pm, 27 Oct, 2022
Updated: 11:52pm, 27 Oct, 2022"
19,"{'id': None, 'name': 'Post Magazine'}","Iris Deng,Coco Feng, Iris Deng,Coco Feng",Fear and anger inside the world’s largest iPhone factory as Foxconn workers vent about Covid-19 restrictions on social media,Workers complain about unpunctual food deliveries and lack of medical care as Foxconn’s Zhengzhou campus grapples with a Covid-19 outbreak.,https://www.scmp.com/tech/tech-trends/article/3197502/fear-and-anger-inside-worlds-largest-iphone-factory-foxconn-workers-vent-about-covid-19-restrictions,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/feae86fc-334f-4341-839f-f0e97b5efbd6_f4a1db38.jpg?itok=xOvAJFY1&v=1666875055,10/27/2022 23:30,"Published: 11:30pm, 27 Oct, 2022
Updated: 11:30pm, 27 Oct, 2022"
20,"{'id': None, 'name': 'Post Magazine'}","Reuters, Reuters","Putin says West is playing a ‘dangerous, bloody and dirty’ domination game","At a conference of international policy experts, Putin scolds the US and its allies for arrogant colonialism, and says the West ‘will have to start an equal conversation about the future we share’.",https://www.scmp.com/news/world/russia-central-asia/article/3197511/west-playing-dangerous-bloody-and-dirty-domination-game-putin-says,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/5f7a43f2-2bd5-4890-abb8-24e255390ff6_04c29bef.jpg?itok=3Qr9iJJ7&v=1666884603,10/27/2022 23:30,"Published: 11:30pm, 27 Oct, 2022
Updated: 11:31pm, 27 Oct, 2022"
21,"{'id': None, 'name': 'Post Magazine'}","Kinling Lo, Kinling Lo",Xi looks for ‘right way’ to mend China-US relations after party congress,"In his first message to the US since securing a third team as leader, the Chinese president says Beijing stands ready to work with Washington.",https://www.scmp.com/news/china/diplomacy/article/3197418/xi-looks-right-way-mend-china-us-relations-after-party-congress,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/e1a0d6f7-6a66-4599-a1f1-25774a98ac39_262d715f.jpg?itok=py4kBAPs&v=1666852391,10/27/2022 23:00,"Published: 11:00pm, 27 Oct, 2022
Updated: 11:00pm, 27 Oct, 2022"
22,"{'id': None, 'name': 'Post Magazine'}","Associated Press, Associated Press",EU to tighten gun trade laws as Ukraine war fuels arms fears,"The EU estimates about 35 million illicit weapons are in the hands of civilians across the 27-nation bloc – about 630,000 firearms are listed as stolen.",https://www.scmp.com/news/world/europe/article/3197509/eu-tighten-gun-trade-laws-ukraine-war-fuels-arms-fears,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/fe42898d-f35d-4b1b-9f1a-2695b4a85896_d04ad55a.jpg?itok=H4tv7FcK&v=1666881329,10/27/2022 22:35,The European Union on Thursday moved to tighten laws governing the trade and transport of guns to help keep illicit firearms out of the hands of criminal gangs amid concerns that the war in Ukraine c… [+1066 chars]
23,"{'id': None, 'name': 'Post Magazine'}","Orange Wang, Orange Wang",China renews commitment to ‘deepening reform’ in bid to join CPTPP Asia-Pacific trade pact,"China has sent a clear message that the country is as keen as ever to join the Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP), despite a widening rift between Beijing and the West.",https://www.scmp.com/economy/article/3197482/china-renews-commitment-deepening-reform-bid-asia-pacific-trade-pact,https://cdn.i-scmp.com/sites/default/files/styles/og_20th_party_congress/public/d8/images/canvas/2022/10/28/4d00fb26-0b48-4e4f-a76f-7b3c05f9eaae_3e6df8da.jpg?itok=4P3BWb9W&v=1666921478,10/27/2022 22:15,"Published: 10:15pm, 27 Oct, 2022
Updated: 10:00am, 28 Oct, 2022"
24,"{'id': None, 'name': 'Post Magazine'}","Reuters, Reuters",SpaceX partners with Philippine tycoon for first Starlink satellite service in SE Asia,"Data Lake, a Philippine-based firm partly owned by tycoon Henry Sy Jnr, said it signed a deal to be the first partner of SpaceX’s Starlink in Southeast Asia.",https://www.scmp.com/news/asia/southeast-asia/article/3197507/spacex-partners-philippine-tycoon-first-starlink-satellite-service-se-asia,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/402282fd-45ab-4853-b44b-d2bce3f7f575_d2f405cf.jpg?itok=TEZ_G1Br&v=1666879881,10/27/2022 22:11,"Published: 10:11pm, 27 Oct, 2022
Updated: 10:11pm, 27 Oct, 2022"
25,"{'id': None, 'name': 'Post Magazine'}","Matt Eaton, Matt Eaton",Mariko Hill stars as Hong Kong women cruise to victory in East Asia Cup opener,Star player Mariko Hill named player of the match after hitting 40 runs from 32 balls and proving dangerous yet again with her bowling.,https://www.scmp.com/sport/cricket/article/3197506/mariko-hill-stars-hong-kong-women-cruise-victory-east-asia-cup-opener,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/7211ad56-84a1-453a-be32-9ee40b6a98a9_efd9aa18.jpg?itok=9PYzbQFI&v=1666879360,10/27/2022 22:02,"Published: 10:02pm, 27 Oct, 2022
Updated: 10:08pm, 27 Oct, 2022"
26,"{'id': None, 'name': 'Post Magazine'}","Che Pan, Che Pan",American chip firm Marvell ‘eliminates’ job roles in China amid deepening tech rivalry,"Marvell Technology is the latest American semiconductor firm to scale down operations in China, calling the move a ‘remapping’ of its business that will result in the ‘elimination of roles in China’.",https://www.scmp.com/tech/tech-war/article/3197487/american-chip-firm-marvell-eliminates-job-roles-china-amid-deepening-tech-rivalry,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/d64e29f1-dbeb-4403-9dcf-805bc331900a_70c5cf35.jpg?itok=UlUtlXbB&v=1666870570,10/27/2022 21:00,"Published: 9:00pm, 27 Oct, 2022
Updated: 9:00pm, 27 Oct, 2022"
27,"{'id': None, 'name': 'Post Magazine'}","Alex Lo, Alex Lo",Why won’t Fukuyama shut up about ‘the end of history’?,A dodgy philosophical and religious concept has again been ideologically exploited to justify and promote American supremacy.,https://www.scmp.com/comment/opinion/article/3197481/why-wont-fukuyama-shut-about-end-history,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_opinion/public/d8/images/canvas/2022/10/27/ab7cbbe1-9415-4979-9998-27b836f444dd_d8fecd39.jpg?itok=ERV1Djmx&v=1666868519,10/27/2022 21:00,"Published: 9:00pm, 27 Oct, 2022
Updated: 9:00pm, 27 Oct, 2022"
28,"{'id': None, 'name': 'Post Magazine'}","Jack Lau, Jack Lau","US should use AI to beat Chinese censors in case of Taiwan attack, think tank chaired by former Google CEO says","Exposing Chinese population to information beyond state propaganda would help to distract authorities from military moves, Virginia-based non-profit says in report.",https://www.scmp.com/news/china/military/article/3197496/us-should-use-ai-beat-chinese-censors-case-taiwan-attack-think-tank-chaired-former-google-ceo-says,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/51858d84-68b1-4732-a85a-f3a4f42369eb_08d136f5.jpg?itok=UQ6o1--Q&v=1666874407,10/27/2022 20:48,"The Taiwan issue is a major flashpoint in US-China ties, especially after US House Speaker Nancy Pelosis visit to Taipei in August, in defiance of Beijings warnings prompted unprecedented live-fire d… [+3377 chars]"
29,"{'id': None, 'name': 'Post Magazine'}","Brian Wong, Brian Wong",Pastor jailed for 1 year for ‘persistent’ attacks on Hong Kong judges in videos and confronting magistrate during trial,"Magistrate says pastor ‘seriously undermined the rule of law, damaged judicial officers’ credibility and trampled on the courts’ dignity’.",https://www.scmp.com/news/hong-kong/law-and-crime/article/3197500/pastor-jailed-1-year-persistent-attacks-hong-kong-judges-videos-and-confronting-magistrate-during,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/07c493ff-a202-487f-a6cb-431f38bb2844_5178f6e9.jpg?itok=cwE_R4s3&v=1666874710,10/27/2022 20:45,"Published: 8:45pm, 27 Oct, 2022
Updated: 8:45pm, 27 Oct, 2022"
30,"{'id': None, 'name': 'Post Magazine'}","Agence France-Presse, Agence France-Presse",Russia paves way for toughening of ‘LGBT propaganda’ law,"Rights campaigners, who condemn a 2013 law, say that in effect any act or public mention of same-sex couples is being criminalised in the new provisions.",https://www.scmp.com/news/world/russia-central-asia/article/3197493/russia-paves-way-toughening-lgbt-propaganda-law,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/9f0aa98a-d8ee-4142-9c23-7f5185eb6359_be86607d.jpg?itok=JzLBfpaY&v=1666873614,10/27/2022 20:26,"Published: 8:26pm, 27 Oct, 2022
Updated: 8:26pm, 27 Oct, 2022"
31,"{'id': None, 'name': 'Post Magazine'}","Oscar Liu, Oscar Liu",‘Overwhelming response’ as almost 50 researchers in Hong Kong apply for screening to join Chinese space mission as payload specialists,"Almost 50 applications from experts in universities, scientific research institutions and enterprises have been received, Hong Kong government official reveals.",https://www.scmp.com/news/hong-kong/society/article/3197491/overwhelming-response-almost-50-researchers-hong-kong-apply-screening-join-chinese-space-mission,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/3fc626bb-db12-434c-8c2e-a62f4ac46c16_ad661baa.jpg?itok=IoWTT5yX&v=1666873283,10/27/2022 20:22,"Published: 8:22pm, 27 Oct, 2022
Updated: 8:25pm, 27 Oct, 2022"
32,"{'id': None, 'name': 'Post Magazine'}","Reuters, Reuters","As China’s birth rate drops, authorities call newlyweds about baby plans","In now-deleted Weibo post, social media users say local officials have asked about pregnancy status, conception plans and prenatal vitamins as China faces population crisis.",https://www.scmp.com/news/china/politics/article/3197492/chinas-birth-rate-drops-authorities-call-newlyweds-about-baby-plans,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/ee0fde82-90f5-4d8a-b657-0f8b69d062c3_455bd937.jpg?itok=em1IeKL1&v=1666873299,10/27/2022 20:21,"Published: 8:21pm, 27 Oct, 2022
Updated: 8:21pm, 27 Oct, 2022"
33,"{'id': None, 'name': 'Post Magazine'}","Wendy Wu,Zhuang Pinghui, Wendy Wu,Zhuang Pinghui","In her own words: German ambassador to China on economics, security, vaccines and Taiwan",Patricia Flor reflects on Germany’s 50 years of bilateral relations with China and explores what can be improved in future exchanges.,https://www.scmp.com/economy/china-economy/article/3197427/her-own-words-german-ambassador-china-economics-security-vaccines-and-taiwan,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/96fa5582-8243-47d6-8945-cf29a09cc476_d2f4b909.jpg?itok=VhvfZiQ_&v=1666854929,10/27/2022 20:15,"Published: 8:15pm, 27 Oct, 2022
Updated: 8:19pm, 27 Oct, 2022"
34,"{'id': None, 'name': 'Post Magazine'}","USA TODAY, USA TODAY","Playing video games may improve children’s brain function because of their cognitively demanding nature, study finds","Video gaming may be associated with improved cognitive abilities in children, including better impulse control and memory, according to a new study.",https://www.scmp.com/lifestyle/health-wellness/article/3197411/playing-video-games-may-improve-childrens-brain-function-because-their-cognitively-demanding-nature,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/926b76c4-1270-4a0a-b5b4-c6200ff09ea6_a97bb15e.jpg?itok=r_syaen7&v=1666846712,10/27/2022 19:45,"Published: 7:45pm, 27 Oct, 2022
Updated: 7:45pm, 27 Oct, 2022"
35,"{'id': None, 'name': 'Post Magazine'}","Mia Castagnone, Mia Castagnone",China remains focused on economic development and staying connected with global investors: HKEX boss Nicolas Aguzin,"China is dead-set on development, and recognises the importance of being connected with the world, Nicolas Aguzin, CEO of Hong Kong Exchanges and Clearing (HKEX), said on Thursday.",https://www.scmp.com/business/china-business/article/3197485/china-remains-focused-economic-development-and-staying-connected-global-investors-hkex-boss-nicolas,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/042ddc60-0de7-406f-97ae-c343bc8388e4_445e773c.jpg?itok=HW2WrPmQ&v=1666870223,10/27/2022 19:30,"Published: 7:30pm, 27 Oct, 2022
Updated: 7:30pm, 27 Oct, 2022"
36,"{'id': None, 'name': 'Post Magazine'}","Pranjali Bhonde Pethe, Pranjali Bhonde Pethe","Hydrosols, fat washing, ‘rotovaps’: mixologists raid chemistry lab for flasks, evaporators and vacuum pumps to make cocktails at leading bars in India",Some of the best bartenders in India have raided the chemistry lab to make flavour-forward cocktails that employ techniques and processes based on science.,https://www.scmp.com/lifestyle/food-drink/article/3197295/hydrosols-fat-washing-rotovaps-mixologists-raid-chemistry-lab-flasks-evaporators-and-vacuum-pumps,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/26/78557b70-3924-4182-ae95-029a36887fbb_80c75b83.jpg?itok=M-kebOo_&v=1666769145,10/27/2022 19:15,"Published: 7:15pm, 27 Oct, 2022
Updated: 7:15pm, 27 Oct, 2022"
37,"{'id': None, 'name': 'Post Magazine'}","Agence France-Presse, Agence France-Presse",Asean ministers say they’re ‘even more determined’ to solve Myanmar crisis despite lack of progress,"Myanmar has been in turmoil since the military coup in February last year, and though efforts by the Asean have yet to bear any fruit, ministers say they’re not discouraged and will press ahead to ‘bring about a peaceful solution’.",https://www.scmp.com/news/asia/southeast-asia/article/3197483/asean-ministers-say-theyre-even-more-determined-solve-myanmar-crisis-despite-lack-progress,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/cb7ef207-fb09-4c4f-9c44-fae697d197c8_defd2346.jpg?itok=3L1Wt_eM&v=1666869022,10/27/2022 19:10,"Published: 7:10pm, 27 Oct, 2022
Updated: 7:10pm, 27 Oct, 2022"
38,"{'id': None, 'name': 'Post Magazine'}","Eric Ng, Eric Ng","Urgent economic, societal changes needed to avoid climate change disaster, UN warns ahead of global summit","Inadequate measures could push global temperatures sharply higher and accelerate climate disaster, UNEP says in a report ahead of next month’s climate summit in Egypt.",https://www.scmp.com/business/article/3197288/urgent-economic-societal-changes-needed-avoid-climate-change-disaster-un-warns-ahead-global-summit,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/26/f0c127af-696e-44dd-96cb-95c3df8198e3_757aa8e0.jpg?itok=PwvYibwq&v=1666766087,10/27/2022 19:00,"Published: 7:00pm, 27 Oct, 2022
Updated: 7:00pm, 27 Oct, 2022"
39,"{'id': None, 'name': 'Post Magazine'}","Reuters,Pearl Liu, Reuters,Pearl Liu",Chinese-owned agricultural giant Syngenta reports slower earnings growth as it prepares for US$10 billion IPO,"Chinachem-owned Syngenta Group’s sales and core earnings growth eased during the third quarter, it said on Thursday ahead of a planned US$10 billion IPO in the next few months.",https://www.scmp.com/business/china-business/article/3197468/chinese-owned-agricultural-giant-syngenta-reports-slower-earnings-growth-it-prepares-us10-billion,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/101a9510-c6f7-40cd-831a-5823b11d90cd_14bb3917.jpg?itok=85Hgm5rV&v=1666863467,10/27/2022 18:30,"Published: 6:30pm, 27 Oct, 2022
Updated: 6:30pm, 27 Oct, 2022"
40,"{'id': None, 'name': 'Post Magazine'}","Zhao Ziwen, Zhao Ziwen","Not your typical Asian mum: character in Rock it, Mom, a Chinese TV drama, subverts stereotypes by smoking, swearing, and playing rock music","Chinese TV drama Rock it, Mom turns the typical on-screen portrayal of Asian mums on its head by making the mother the smoking, swearing troublemaker.",https://www.scmp.com/lifestyle/entertainment/article/3197440/not-your-typical-asian-mum-character-rock-it-mom-chinese-tv-drama-subverts-stereotypes-smoking,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/3550a3c8-6f72-48c6-83fb-b028a6c2ac52_fc4f90c2.jpg?itok=CuS61Q5S&v=1666857594,10/27/2022 18:25,"Published: 6:25pm, 27 Oct, 2022
Updated: 6:35pm, 27 Oct, 2022"
41,"{'id': None, 'name': 'Post Magazine'}","Ben Jiang, Ben Jiang",Apple defies China’s smartphone slump to post strong third quarter sales as local brands suffer,"Apple emerged the clear winner among China’s struggling smartphone vendors in the third quarter, posting 36 per cent sales growth thanks to the iPhone 14, while major local brands suffered double digit declines.",https://www.scmp.com/tech/big-tech/article/3197455/apple-defies-chinas-smartphone-slump-post-strong-third-quarter-sales-local-brands-suffer,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/e1d275c6-7b27-4d97-8fc1-1737af188591_45eb0eed.jpg?itok=o3xWOpSM&v=1666862106,10/27/2022 18:00,"Published: 6:00pm, 27 Oct, 2022
Updated: 6:00pm, 27 Oct, 2022"
42,"{'id': None, 'name': 'Post Magazine'}","Natalie Wong, Natalie Wong","Hong Kong not quick, broad or generous enough to woo global talent, says Bernard Chan",Former Executive Council convenor urges government to remove more red tape in its quest to attract talent.,https://www.scmp.com/news/hong-kong/society/article/3197470/hong-kong-not-quick-broad-or-generous-enough-woo-global-talent-says-bernard-chan,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/99d319bf-b62c-4bc1-b31e-3c958ca61ac7_163e7240.jpg?itok=bt7LPWbO&v=1666864068,10/27/2022 17:47,"Published: 5:47pm, 27 Oct, 2022
Updated: 5:49pm, 27 Oct, 2022"
43,"{'id': None, 'name': 'Post Magazine'}","Dewey Sim, Dewey Sim",Southeast Asia’s digital economy still a ‘hotbed’ for investments despite global headwinds slowing growth,"A report from Google, Temasek and Bain & Company said Singapore and Indonesia remained red-hot investment destinations, with regional online spending economy set to hit US$200 billion this year.",https://www.scmp.com/week-asia/economics/article/3197446/southeast-asias-digital-economy-still-hotbed-investments-despite-global-headwinds-slowing-growth,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/da91c8ed-7dc1-43c4-951e-97a7468f18ae_92c2a5bf.jpg?itok=z7XccUID&v=1666860498,10/27/2022 17:45,"Published: 5:45pm, 27 Oct, 2022
Updated: 5:45pm, 27 Oct, 2022"
44,"{'id': None, 'name': 'Post Magazine'}","Iris Ouyang, Iris Ouyang",Hainan launches mainland China’s first sustainable dim sum bond as Beijing aims to strengthen Hong Kong’s offshore financial hub status,The tropical island of Hainan issued the first sustainable dim sum bonds by a Chinese provincial government as Beijing aims to strengthen Hong Kong’s position as an offshore financial centre.,https://www.scmp.com/business/banking-finance/article/3197465/hainan-launches-mainland-chinas-first-sustainable-dim-sum-bond-beijing-aims-strengthen-hong-kongs,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/1c003113-392e-420d-af58-77c59694f56f_8c54a861.jpg?itok=cc8iBDPB&v=1666863090,10/27/2022 17:31,"Published: 5:31pm, 27 Oct, 2022
Updated: 5:38pm, 27 Oct, 2022"
45,"{'id': None, 'name': 'Post Magazine'}","Sam Agars, Sam Agars",Jack Wong emerges from the dark to land a winner he wasn’t sure would ever come,It was a winner he wasn’t sure would ever come and the joy on Jack Wong Ho-nam’s face after his victory aboard Happy Fat Cat on Wednesday night was enough to light up even the dreariest of Sha Tin dirt meetings....,https://www.scmp.com/sport/racing/article/3197457/jack-wong-emerges-dark-land-winner-he-wasnt-sure-would-ever-come,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/9e712fe9-8489-47c6-ba45-c84a262e2215_2d1ff1cc.jpg?itok=X6Wl0IC1&v=1666862311,10/27/2022 17:18,It was a winner he wasnt sure would ever come and the joy on Jack Wong Ho-nams face after his victory aboard Happy Fat Cat on Wednesday night was enough to light up even the dreariest of Sha Tin dirt… [+3267 chars]
46,"{'id': None, 'name': 'Post Magazine'}","Andrew Sun, Andrew Sun","Where to wine and dine in Hong Kong and Burgundy: a vino retail boss shares his picks, and also where he goes for Italian, Chinese and Indian","Jeremy Stockman, managing director of Hong Kong wine seller Watson’s, grew up on vino. He shares his top picks for great food and bottles in Hong Kong and Burgundy, France – and where he eats when down under.",https://www.scmp.com/lifestyle/food-drink/article/3197289/where-wine-and-dine-hong-kong-and-burgundy-vino-retail-boss-shares-his-picks-and-also-where-he-goes,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/26/2dc161e7-3a1f-49c3-b110-786b6e77954e_42664d17.jpg?itok=Fa_v-akc&v=1666766095,10/27/2022 17:15,"Published: 5:15pm, 27 Oct, 2022
Updated: 5:15pm, 27 Oct, 2022"
47,"{'id': None, 'name': 'Post Magazine'}","Harvey Kong, Harvey Kong","Tickets still available for Hong Kong Sevens as organisers sell 25,000 to local fans, with 30,000 set to attend kick-off event","Hong Kong Rugby Union says it is ‘thrilled’ by number of sales, with organisers to also host 6,000 school students during launch",https://www.scmp.com/news/hong-kong/hong-kong-economy/article/3197451/tickets-still-available-hong-kong-sevens-organisers-sell-25000-local-fans-30000-set-attend-kick,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/903b4398-e6f0-4dd9-8ff9-c99d5c97a843_33a56441.jpg?itok=pKXBRDGN&v=1666861537,10/27/2022 17:05,"Published: 5:05pm, 27 Oct, 2022
Updated: 5:10pm, 27 Oct, 2022"
48,"{'id': None, 'name': 'Post Magazine'}","Sammy Heung,Seong Hyeon Choi, Sammy Heung,Seong Hyeon Choi","Coronavirus: Hong Kong to lift curbs on opening hours of restaurants, pubs and allow barbecue sites to resume operations from next Thursday","From November 3, guests will also be allowed to remove masks while taking photos at event and catering premises",https://www.scmp.com/news/hong-kong/health-environment/article/3197447/coronavirus-hong-kong-lift-curbs-opening-hours-restaurants-pubs-and-allow-barbecue-sites-resume,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_coronavirus_generic/public/d8/images/canvas/2022/10/27/087a5a7a-4213-49b2-a0d9-f7242c5c3b35_bb4a0a17.jpg?itok=8bhng12j&v=1666860725,10/27/2022 16:52,"Published: 4:52pm, 27 Oct, 2022
Updated: 4:53pm, 27 Oct, 2022"
49,"{'id': None, 'name': 'Post Magazine'}","Pierce Conran, Pierce Conran","K-drama review: The Law Cafe – Lee Seung-gi, Lee Se-young can’t save tired romcom that recycles outdated stereotypes","The Law Cafe is modelled on successful older K-dramas, but its storylines are drab, its plot clichéd and its characters stereotypical. The whole series feels like a lazy cop-out.",https://www.scmp.com/lifestyle/k-pop/k-drama/article/3197309/k-drama-review-law-cafe-lee-seung-gi-lee-se-young-cant-save-tired-romcom-recycles-outdated,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_review/public/d8/images/canvas/2022/10/26/a8096365-b5fa-4116-8bf7-a6cba442e1bf_546aaea4.jpg?itok=ypXBYttY&v=1666775527,10/27/2022 16:15,"Published: 4:15pm, 27 Oct, 2022
Updated: 4:15pm, 27 Oct, 2022"
50,"{'id': None, 'name': 'Post Magazine'}","Iris Deng, Iris Deng",Huawei posts small revenue drop in first nine months without revealing net profit,Huawei Technologies Co said its revenue from January to September dropped 2 per cent from the same period last year.,https://www.scmp.com/tech/big-tech/article/3197441/huawei-posts-small-revenue-drop-first-nine-months-without-revealing-net-profit,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/c86bbaa6-7b08-466c-9a44-7d35e76d3a8c_18eb9c47.jpg?itok=AB0nbA8o&v=1666858006,10/27/2022 16:07,"Published: 4:07pm, 27 Oct, 2022
Updated: 4:10pm, 27 Oct, 2022"
51,"{'id': None, 'name': 'Post Magazine'}","Eric Ng, Eric Ng",Climate change: majority of China-backed development bank AIIB’s financing to go to mitigation and adaptation by 2025,"China-backed Asian Infrastructure Investment Bank aims to allocate at least half of its annual financing to projects that tackle climate change by 2025, according to a senior executive.",https://www.scmp.com/business/article/3197384/climate-change-majority-china-backed-development-bank-aiibs-financing-go-mitigation-and-adaptation,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/fbbb7de5-edd3-440d-9cad-7e2e06436fc4_a899a35e.jpg?itok=Og52R7C2&v=1666831407,10/27/2022 16:00,"Published: 4:00pm, 27 Oct, 2022
Updated: 4:00pm, 27 Oct, 2022"
52,"{'id': None, 'name': 'Post Magazine'}","Brian Wong, Brian Wong","Hong Kong protests: decoration worker, 64, jailed for more than 4 years for rioting and wounding at 2019 Yuen Long MTR attacks","Decoration worker among white-clad mob that night had assaulted three people in three minutes, instructing accomplices to go after targets.",https://www.scmp.com/news/hong-kong/law-and-crime/article/3197436/hong-kong-protests-decoration-worker-64-jailed-more-4-years-rioting-and-wounding-2019-yuen-long-mtr,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/27/15a9f0f3-0f96-4e92-aeff-6cb2798202fd_616b4803.jpg?itok=JJ09eHiw&v=1666856577,10/27/2022 15:42,"Published: 3:42pm, 27 Oct, 2022
Updated: 3:42pm, 27 Oct, 2022"
